"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_mediata","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S000699    ",-1,"Desconegut",-1,"Desconegut",-1,"Rovira (ascendent)                                ","0         ","Dissabte","2023",2,"Febrer","4","16","Tarda","Manca d'atenció a la conducció","430443.36 ","4585232   ","2.166595554","41.413783052"
"2023S005197    ",-1,"Desconegut",-1,"Desconegut",-1,"Estatut de Catalunya                              ","11        ","Divendres","2023",9,"Setembre","1","13","Matí","No respectar distàncies","429493.73 ","4587108.15","2.155015073","41.430598006"
"2023S007430    ",-1,"Desconegut",-1,"Desconegut",-1,"Rovira (ascendent)                                ","0         ","Divendres","2023",12,"Desembre","15","11","Matí","No respectar distàncies","430443.36 ","4585232   ","2.166595554","41.413783052"
"2023S000961    ",-1,"Desconegut",-1,"Desconegut",-1,"Amílcar                                           ","120       ","Dissabte","2023",1,"Gener","28","14","Tarda","No respectat pas de vianants","430955.45 ","4586335.1 ","2.172596357","41.423762477"
"2023S006486    ",-1,"Desconegut",-1,"Desconegut",-1,"Augusta / Hort de la Vila                         ",,"Dijous","2023",11,"Novembre","2","14","Tarda","Desobeir semàfor","426883.33 ","4583690.92","2.124188957","41.399587047"
"2023S002721    ",-1,"Desconegut",-1,"Desconegut",-1,"Lisboa                                            ","68-72     ","Dilluns","2023",5,"Maig","8","01","Nit","Manca d'atenció a la conducció","429524.58 ","4586879.7 ","2.155410913","41.428543158"
"2023S002864    ",-1,"Desconegut",-1,"Desconegut",-1,"Lisboa / Puríssima                                ",,"Dissabte","2023",5,"Maig","13","18","Tarda","Desobeir altres senyals","429178.93 ","4586631.06","2.151303679","41.426273341"
"2023S006867    ",-1,"Desconegut",-1,"Desconegut",-1,"Guipúscoa                                         ","163       ","Diumenge","2023",11,"Novembre","19","07","Matí","Manca d'atenció a la conducció","433835.76 ","4586344.61","2.207061705","41.424090651"
"2023S001077    ",-1,"Desconegut",-1,"Desconegut",-1,"Carrasco i Formiguera / Dolors Monserdà           ",,"Dimecres","2023",2,"Febrer","22","21","Tarda","Desobeir altres senyals","426738.14 ","4583956.28","2.122420131","41.401963806"
"2023S005671    ",-1,"Desconegut",-1,"Desconegut",-1,"A Zona Franca                                     ","93        ","Dimarts","2023",9,"Setembre","26","17","Tarda","Manca d'atenció a la conducció","428497.71 ","4577319.47","2.144251323","41.342346799"
"2023S004509    ",-1,"Desconegut",-1,"Desconegut",-1,"Dolors Monserdà / Carrasco i Formiguera           ",,"Dimarts","2023",7,"Juliol","25","20","Tarda","Desobeir altres senyals","426738.14 ","4583956.28","2.122420131","41.401963806"
"2023S000458    ",-1,"Desconegut",-1,"Desconegut",-1,"Favència                                          ","297-299   ","Dilluns","2023",1,"Gener","23","12","Matí","No respectar distàncies","431894.76 ","4588886.06","2.183548645","41.446818316"
"2023S000462    ",-1,"Desconegut",-1,"Desconegut",-1,"Ildefons Cerdà                                    ","3         ","Dilluns","2023",1,"Gener","23","23","Nit","Gir indegut o sense precaució","427786.74 ","4579747.41","2.135465365","41.364151013"
"2023S004984    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0187 0187","Dimarts","2023",8,"Agost","15","23","Nit","Gir indegut o sense precaució","432139.36 ","4585186.75","2.186892134","41.413520581"
"2023S003695    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa","0293 0293","Dimarts","2023",6,"Juny","20","16","Tarda","Altres","432107.59 ","4585401.76","2.186487885","41.415454425"
"2023S003891    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa","0295 0295","Dimecres","2023",6,"Juny","28","16","Tarda","Manca d'atenció a la conducció","432141.03 ","4585382.64","2.186890129","41.415285043"
"2023S005526    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0388 0392","Dimarts","2023",9,"Setembre","19","12","Matí","Desconegut","431336.21 ","4585087.98","2.177294241","41.412562734"
"2023S002728    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0020 0022","Dilluns","2023",5,"Maig","8","09","Matí","Altres","431653.81 ","4585294.29","2.18107072","41.41444799"
"2023S000172    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0052 0054","Dimarts","2023",1,"Gener","10","17","Tarda","Desconegut","431603.55 ","4585443.43","2.180452515","41.415786967"
"2023S000944    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0356 0356","Dimecres","2023",2,"Febrer","15","20","Tarda","Altres","431646.49 ","4585469.73","2.180963306","41.416027499"
"2023S002482    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0224 0224","Dijous","2023",4,"Abril","27","20","Tarda","Desobeir altres senyals","431372.38 ","4585035.95","2.177732887","41.412097208"
"2023S003507    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",90502,"Còrsega","0691B0691B","Dilluns","2023",6,"Juny","12","17","Tarda","Avançament defectuós/improcedent","431555.77 ","4585028.44","2.179927818","41.412045215"
